,SNR,alpha,std2_rel,h_min_big,h_max_big,h_min_pwg,h_max_pwg,h_min_g,h_max_g
0,0.5,0.6,3.0,2.2813124999999994,5.276814437879878,2.623509374999999,5.276814437879878,2.623509374999999,6.0683366035618596
1,0.5,0.6,9.0,3.0170357812499984,5.276814437879878,3.0170357812499984,4.58853429380859,3.0170357812499984,6.0683366035618596
2,0.5,0.9,3.0,3.0170357812499984,5.276814437879878,3.4695911484374977,6.0683366035618596,2.623509374999999,6.978587094096138
3,0.5,0.9,9.0,1.9837499999999997,4.58853429380859,1.9837499999999997,4.58853429380859,3.4695911484374977,9.229181431942141
4,1.0,0.6,3.0,3.0170357812499984,5.276814437879878,2.623509374999999,5.276814437879878,3.4695911484374977,6.978587094096138
5,1.0,0.6,9.0,3.4695911484374977,5.276814437879878,3.4695911484374977,5.276814437879878,3.4695911484374977,8.025375158210558
6,1.0,0.9,3.0,3.4695911484374977,5.276814437879878,3.4695911484374977,5.276814437879878,2.623509374999999,8.025375158210558
7,1.0,0.9,9.0,1.7249999999999999,5.276814437879878,1.7249999999999999,5.276814437879878,4.58853429380859,12.205592443743479
8,2.0,0.6,3.0,2.623509374999999,4.58853429380859,2.623509374999999,3.990029820703122,3.0170357812499984,6.978587094096138
9,2.0,0.6,9.0,2.623509374999999,4.58853429380859,2.623509374999999,4.58853429380859,3.990029820703122,9.229181431942141
10,2.0,0.9,3.0,2.623509374999999,4.58853429380859,2.623509374999999,4.58853429380859,1.7249999999999999,10.61355864673346
11,2.0,0.9,9.0,1.7249999999999999,5.276814437879878,1.7249999999999999,5.276814437879878,4.58853429380859,16.14189600685075
